city,date,temp_max,temp_min,humidity_max,humidity_min,wind_speed,precipitation,pm25,pm10,no2,so2,o3,co,AQI
New Delhi,2025-08-16,31.2,26.5,97.0,73.0,7.8,9.9,52.72064055555557,59.01129000000001,13.672894444444443,1.7666494444444445,62.274369444444446,500.0,52.72064055555557
New Delhi,2025-08-17,32.2,27.4,93.0,73.0,9.5,2.8,53.312097222222235,58.652208333333334,11.067513888888888,1.8602638888888892,80.69984722222222,500.0,53.312097222222235
New Delhi,2025-08-18,32.0,27.0,93.0,67.0,13.8,11.6,41.367805555555556,45.82138888888889,9.188291666666666,2.078375,84.95409722222223,500.0,41.367805555555556
New Delhi,2025-08-19,32.0,26.8,91.0,66.0,11.4,5.9,39.85672888888889,44.05232722222222,7.918018333333333,2.3265305555555553,90.65875722222223,474.20959444444446,39.85672888888889
New Delhi,2025-08-20,32.7,25.3,97.0,61.0,11.4,19.3,41.971215,45.96350777777777,7.891837777777778,2.4393777777777776,90.08964611111111,455.26805277777777,41.971215
New Delhi,2025-08-21,33.8,25.4,95.0,58.0,12.3,2.3,34.97035388888888,38.616521666666664,10.114476666666667,2.1779333333333333,78.32952111111112,494.4070805555556,34.97035388888888
New Delhi,2025-08-22,34.7,25.8,96.0,53.0,7.1,4.6,27.15284722222222,31.116041666666664,15.193027777777779,2.245569444444445,60.43501388888889,500.0,27.15284722222222
New Delhi,2025-08-23,32.6,25.9,95.0,63.0,10.0,6.6,24.081777777777774,27.95126388888889,18.50513888888889,2.107625,43.42216666666666,500.0,24.081777777777774
New Delhi,2025-08-24,31.4,24.7,95.0,72.0,12.7,18.8,28.58119333333334,32.029587777777785,19.03556777777778,2.0412600000000003,36.87699888888889,500.0,28.58119333333334
New Delhi,2025-08-25,29.5,24.8,95.0,77.0,15.6,9.2,32.587721111111115,36.045685000000006,18.609637222222222,1.7019961111111115,31.13244333333333,500.0,32.587721111111115
New Delhi,2025-08-26,30.1,25.4,97.0,75.0,17.9,4.5,38.141248888888896,42.908782222222236,18.508887222222224,1.6211072222222225,30.27137388888889,500.0,38.141248888888896
New Delhi,2025-08-27,32.7,25.4,97.0,66.0,8.6,3.4,40.15284722222222,46.38093055555555,17.929347222222223,1.6325833333333337,36.53902777777778,500.0,40.15284722222222
New Delhi,2025-08-28,32.6,25.1,98.0,70.0,9.7,14.5,38.26748611111112,44.89911111111112,15.927347222222222,1.556027777777778,46.18123611111111,500.0,38.26748611111112
New Delhi,2025-08-29,31.7,25.2,96.0,71.0,12.5,2.6,35.08143166666667,41.476666111111115,15.353613888888889,1.662172777777778,48.94906611111111,500.0,35.08143166666667
New Delhi,2025-08-30,31.9,25.5,95.0,66.0,11.8,4.9,31.591112222222225,37.004485555555554,15.327974999999997,1.7100200000000003,46.214913333333335,500.0,31.591112222222225
New Delhi,2025-08-31,30.2,24.3,98.0,78.0,15.6,24.1,29.661153888888894,34.14376333333333,15.491558333333334,1.6233533333333336,38.155455,500.0,29.661153888888894
New Delhi,2025-09-01,29.1,24.0,98.0,76.0,16.8,40.1,23.718319444444443,27.232472222222228,13.23725,1.4135694444444447,38.07573611111111,500.0,23.718319444444443
New Delhi,2025-09-02,27.0,24.0,98.0,82.0,15.5,10.6,18.542513888888887,22.435111111111112,11.740444444444444,1.3391805555555556,35.00827777777778,499.87419444444447,18.542513888888887
New Delhi,2025-09-03,29.2,24.2,97.0,76.0,10.7,22.8,22.75899888888889,26.704022222222225,10.771200555555556,1.572963888888889,39.692257222222224,499.87419444444447,22.75899888888889
New Delhi,2025-09-04,31.7,23.9,97.0,68.0,10.9,8.5,29.702443333333335,33.94556388888889,11.816075555555557,2.348269444444445,44.613659999999996,500.0,29.702443333333335
New Delhi,2025-09-05,31.2,24.6,95.0,71.0,16.3,9.5,36.49584611111111,39.53953611111111,11.341936666666667,2.655936111111111,58.56807666666666,500.0,36.49584611111111
New Delhi,2025-09-06,31.6,24.7,96.0,70.0,12.2,7.0,29.42333333333334,31.78138888888889,8.618097222222223,2.3528194444444446,66.55783333333333,461.79575000000006,29.42333333333334
New Delhi,2025-09-07,32.1,24.9,97.0,68.0,9.1,2.1,25.57208333333333,27.87073611111111,6.349055555555556,1.8154861111111116,70.15052777777778,390.7931805555556,25.57208333333333
New Delhi,2025-09-08,32.1,25.2,98.0,61.0,6.5,0.7,19.06996722222222,23.625730555555556,6.279245555555557,1.7317516666666672,63.05548166666667,331.4072811111111,19.06996722222222
New Delhi,2025-09-09,32.5,25.8,87.0,61.0,10.7,0.5,20.672036666666667,28.456855555555553,7.189245555555557,2.0646961111111115,66.01027333333333,324.9565727777778,20.672036666666667
New Delhi,2025-09-10,33.3,25.3,88.0,54.0,15.3,0.0,20.408245,35.312730555555554,7.066828888888891,2.0247933333333337,73.70482888888888,299.7598644444444,20.408245
New Delhi,2025-09-11,33.1,25.0,83.0,50.0,15.1,0.0,20.76659722222222,42.32186111111111,6.134375,2.1182777777777777,80.43334722222221,266.283875,20.76659722222222
New Delhi,2025-09-12,33.9,25.0,79.0,48.0,11.8,0.2,19.66936111111111,45.89595833333333,6.288750000000002,2.0967916666666673,77.27127777777777,242.4404305555556,19.66936111111111
New Delhi,2025-09-13,35.6,26.8,79.0,41.0,11.2,0.3,19.75288611111111,45.75487222222222,7.8571349999999995,2.103132777777778,66.55259722222223,266.35282555555557,19.75288611111111
New Delhi,2025-09-14,36.6,27.7,76.0,38.0,11.1,0.0,20.757316666666664,46.223955555555555,8.196760000000001,1.7963688888888893,62.63743055555557,280.7422005555556,20.757316666666664
New Delhi,2025-09-15,36.8,28.0,72.0,36.0,13.1,0.0,21.934358333333336,46.83766388888889,8.560218333333335,1.8962161111111115,64.28409722222223,292.19267277777783,21.934358333333336
New Delhi,2025-09-16,37.0,27.6,77.0,37.0,10.1,0.0,23.48738888888889,48.20183333333335,9.766791666666666,2.0335972222222223,64.25358333333332,314.47740277777785,23.48738888888889
New Delhi,2025-09-17,36.3,25.8,86.0,40.0,10.1,0.3,28.71194444444444,52.45608333333334,12.048472222222223,2.360944444444445,62.456875,384.38634722222235,28.71194444444444
New Delhi,2025-09-18,35.1,25.5,87.0,44.0,8.8,2.2,35.01795555555555,61.33772666666666,13.799131666666666,2.348955555555556,58.51060944444445,452.9055266666668,35.01795555555555
New Delhi,2025-09-19,35.4,27.3,85.0,41.0,10.9,0.8,40.007247222222226,71.17078222222221,14.318951111111113,2.472094444444445,60.779470555555555,489.174623888889,40.007247222222226
New Delhi,2025-09-20,36.3,26.3,79.0,37.0,15.2,0.0,38.55612222222222,78.65174055555556,12.637798333333334,2.4349000000000003,64.66015111111112,436.1575544444446,38.55612222222222
New Delhi,2025-09-21,36.5,26.0,71.0,35.0,14.4,0.0,34.228458333333336,79.27995833333334,10.37688888888889,2.324472222222223,70.72415277777777,362.81302777777785,34.228458333333336
New Delhi,2025-09-22,37.1,26.6,70.0,31.0,15.8,0.0,30.943972222222225,76.50716666666666,7.857777777777779,2.2768055555555557,79.59647222222223,295.5479583333334,30.943972222222225
New Delhi,2025-09-23,36.8,26.6,69.0,33.0,16.3,0.0,28.883732222222225,68.51638444444444,7.8651588888888915,2.3942388888888892,84.24322833333333,288.2525244444445,28.883732222222225
New Delhi,2025-09-24,36.3,26.2,70.0,31.0,15.3,0.0,27.46492666666667,62.567801111111116,8.141228333333336,2.7172527777777784,87.73029777777776,286.33917722222225,27.46492666666667
New Delhi,2025-09-25,36.3,26.2,74.0,33.0,13.4,0.0,26.92524611111111,61.015564999999995,9.293895000000003,2.7196000000000002,84.44653388888888,299.50366333333335,26.92524611111111
